Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(C)	magx	magy	magz
 2000-0-0 0:2:23.960	-0.0591	0.8794	0.4478	0.0	0.0	0.0	62.902	3.532	0.0	36.21	8113	19419	63719
 2000-0-0 0:2:24.70	-0.063	0.8765	0.4502	0.0	0.0	0.0	62.902	3.527	0.0	36.18	8107	19424	63723
 2000-0-0 0:2:24.185	-0.0601	0.8784	0.4487	0.0	0.0	0.0	62.902	3.532	0.0	36.2	8111	19424	63708
 2000-0-0 0:2:24.300	-0.0605	0.8789	0.4487	0.0	0.0	0.0	62.902	3.532	0.0	36.24	8108	19419	63695
 2000-0-0 0:2:24.410	-0.062	0.8789	0.4521	0.0	0.0	0.0	62.902	3.532	0.0	36.17	8091	19423	63716
 2000-0-0 0:2:24.525	-0.0605	0.8799	0.4507	0.0	0.0	0.0	62.902	3.532	0.0	36.17	8104	19419	63714
 2000-0-0 0:2:24.630	-0.061	0.8799	0.4482	0.0	0.0	0.0	62.902	3.532	0.0	36.21	8082	19409	63727
 2000-0-0 0:2:24.740	-0.0605	0.8784	0.4502	0.0	0.0	0.0	62.902	3.532	0.0	36.21	8068	19428	63735
 2000-0-0 0:2:24.850	-0.0605	0.8784	0.4482	0.0	0.0	0.0	62.902	3.532	0.0	36.15	8083	19399	63698
 2000-0-0 0:2:24.960	-0.0615	0.8779	0.4512	0.0	0.0	0.0	62.902	3.532	0.0	36.18	8081	19418	63727
 2000-0-0 0:2:25.70	-0.0615	0.8809	0.4487	0.0	0.0	0.0	62.897	3.532	0.0	36.15	8090	19415	63710
 2000-0-0 0:2:25.185	-0.0605	0.8799	0.4497	0.0	0.0	0.0	62.902	3.532	0.0	36.18	8086	19411	63682
 2000-0-0 0:2:25.295	-0.062	0.8789	0.4517	0.0	0.0	0.0	62.902	3.532	0.0	36.21	8088	19409	63698
 2000-0-0 0:2:25.405	-0.0625	0.8779	0.4502	0.0	0.0	0.0	62.902	3.532	0.0	36.18	8068	19428	63720
