Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(C)	magx	magy	magz
 2000-0-0 0:1:49.745	-0.0591	0.8784	0.4468	-0.1831	0.061	0.0	62.913	3.516	0.033	36.06	8083	19423	63688
 2000-0-0 0:1:49.865	-0.0659	0.877	0.4531	0.061	-0.061	-0.061	62.902	3.521	0.033	36.06	8092	19419	63719
 2000-0-0 0:1:49.980	-0.0586	0.8804	0.4492	0.061	0.1221	0.1831	62.908	3.516	0.044	36.06	8089	19420	63711
 2000-0-0 0:1:50.95	-0.0591	0.8813	0.4453	-0.1221	0.0	0.0	62.919	3.516	0.049	36.09	8090	19438	63694
 2000-0-0 0:1:50.205	-0.0635	0.877	0.4556	-0.061	-0.1831	0.0	62.897	3.51	0.044	36.06	8085	19447	63713
 2000-0-0 0:1:50.315	-0.061	0.8784	0.4487	0.0	0.0	0.0	62.891	3.51	0.027	36.08	8068	19426	63718
 2000-0-0 0:1:50.420	-0.0581	0.8779	0.4487	0.0	0.0	0.0	62.897	3.51	0.027	36.09	8077	19423	63716
 2000-0-0 0:1:50.540	-0.0645	0.8774	0.4526	-0.061	0.0	0.0	62.891	3.51	0.038	36.05	8070	19428	63715
 2000-0-0 0:1:50.650	-0.0601	0.8799	0.4453	0.061	0.0	0.0	62.902	3.516	0.033	36.06	8087	19411	63687
 2000-0-0 0:1:50.760	-0.0571	0.8794	0.4512	0.0	0.0	0.0	62.908	3.516	0.038	36.06	8092	19417	63701
 2000-0-0 0:1:50.870	-0.0664	0.8779	0.4517	-0.061	0.0	0.0	62.908	3.516	0.038	36.03	8085	19410	63718
 2000-0-0 0:1:50.980	-0.0571	0.8779	0.4497	0.0	-0.1221	0.0	62.897	3.516	0.027	36.09	8090	19409	63700
 2000-0-0 0:1:51.90	-0.064	0.8799	0.4458	0.0	0.0	0.0	62.897	3.51	0.027	36.06	8090	19426	63688
 2000-0-0 0:1:51.200	-0.0625	0.8765	0.4531	-0.061	0.1221	0.0	62.897	3.521	0.033	36.09	8074	19418	63692
 2000-0-0 0:1:51.310	-0.0591	0.8813	0.4463	0.1221	-0.1221	0.0	62.902	3.521	0.038	36.06	8091	19422	63703
 2000-0-0 0:1:51.420	-0.061	0.8804	0.4502	-0.1221	0.061	0.0	62.902	3.521	0.038	36.08	8079	19420	63726
 2000-0-0 0:1:51.525	-0.0615	0.8779	0.4521	0.0	0.0	0.0	62.902	3.521	0.038	36.09	8094	19409	63706
 2000-0-0 0:1:51.640	-0.061	0.8794	0.4492	0.061	-0.061	0.0	62.891	3.521	0.033	36.06	8091	19437	63691
 2000-0-0 0:1:51.750	-0.0596	0.8774	0.4478	-0.1221	0.1831	0.0	62.902	3.527	0.038	36.06	8091	19414	63702
 2000-0-0 0:1:51.860	-0.0615	0.8784	0.4512	0.0	-0.1221	0.0	62.897	3.527	0.038	36.06	8088	19425	63700
 2000-0-0 0:1:51.970	-0.0605	0.8799	0.4502	-0.061	0.0	0.0	62.891	3.527	0.038	36.06	8094	19422	63706
 2000-0-0 0:1:52.80	-0.0601	0.8789	0.4507	0.0	0.061	0.0	62.891	3.527	0.033	36.08	8078	19437	63714
 2000-0-0 0:1:52.190	-0.063	0.8784	0.4512	0.1221	-0.061	0.0	62.891	3.527	0.038	36.09	8091	19434	63732
 2000-0-0 0:1:52.300	-0.0605	0.8789	0.4492	0.0	0.1221	0.0	62.897	3.532	0.044	36.08	8081	19435	63705
 2000-0-0 0:1:52.415	-0.0591	0.8784	0.4497	-0.061	-0.061	0.0	62.897	3.532	0.044	36.05	8090	19428	63695
 2000-0-0 0:1:52.525	-0.0649	0.8779	0.4502	-0.061	0.0	0.0	62.891	3.527	0.044	36.09	8089	19420	63704
 2000-0-0 0:1:52.630	-0.0586	0.8784	0.4526	0.0	0.061	0.0	62.891	3.532	0.038	36.09	8098	19423	63705
 2000-0-0 0:1:52.740	-0.0615	0.8794	0.4482	0.0	0.0	0.0	62.891	3.532	0.044	36.06	8091	19426	63695
 2000-0-0 0:1:52.850	-0.0605	0.8789	0.4512	-0.1221	0.0	0.0	62.891	3.532	0.044	36.06	8091	19414	63693
 2000-0-0 0:1:52.955	-0.061	0.8794	0.4463	0.061	-0.1221	0.0	62.886	3.527	0.038	36.06	8092	19420	63701
 2000-0-0 0:1:53.65	-0.061	0.8784	0.4497	0.0	0.061	0.0	62.891	3.532	0.038	36.08	8082	19413	63723
 2000-0-0 0:1:53.175	-0.062	0.8779	0.4502	0.0	0.0	0.0	62.891	3.532	0.044	36.06	8092	19433	63721
 2000-0-0 0:1:53.295	-0.061	0.8799	0.4478	0.0	-0.1221	0.0	62.891	3.532	0.038	36.11	8088	19438	63691
 2000-0-0 0:1:53.405	-0.0591	0.8809	0.4497	-0.1221	0.0	0.0	62.891	3.532	0.038	36.09	8077	19418	63710
 2000-0-0 0:1:53.515	-0.0625	0.8794	0.4512	0.0	0.0	0.0	62.886	3.527	0.038	36.06	8090	19417	63700
 2000-0-0 0:1:53.625	-0.0605	0.8789	0.4502	0.061	0.0	0.0	62.891	3.532	0.038	36.09	8101	19436	63712
 2000-0-0 0:1:53.735	-0.0605	0.8789	0.4482	0.0	0.0	0.0	62.891	3.532	0.038	36.05	8097	19409	63709
 2000-0-0 0:1:53.845	-0.0615	0.8779	0.4497	-0.061	-0.061	0.0	62.891	3.527	0.033	36.08	8085	19414	63692
 2000-0-0 0:1:53.955	-0.0596	0.8799	0.4492	0.0	0.0	0.0	62.891	3.527	0.033	36.03	8103	19412	63705
 2000-0-0 0:1:54.75	-0.0615	0.8784	0.4478	0.0	0.0	0.0	62.891	3.527	0.033	36.08	8120	19416	63711
 2000-0-0 0:1:54.185	-0.061	0.8794	0.4502	0.0	0.0	0.0	62.891	3.527	0.033	36.06	8127	19409	63724
 2000-0-0 0:1:54.295	-0.061	0.8789	0.4512	0.0	0.0	0.0	62.897	3.527	0.033	36.06	8103	19416	63708
 2000-0-0 0:1:54.405	-0.0625	0.8779	0.4492	0.0	0.0	0.0	62.897	3.527	0.033	36.08	8097	19417	63698
 2000-0-0 0:1:54.515	-0.0586	0.8784	0.4497	0.0	0.0	0.0	62.897	3.532	0.033	36.09	8095	19417	63708
 2000-0-0 0:1:54.625	-0.062	0.8789	0.4458	0.0	0.0	0.0	62.897	3.527	0.033	36.09	8089	19430	63703
 2000-0-0 0:1:54.730	-0.0596	0.876	0.4531	0.0	0.0	0.0	62.902	3.532	0.033	36.08	8082	19409	63724
 2000-0-0 0:1:54.840	-0.064	0.8799	0.4478	0.0	0.0	0.0	62.897	3.527	0.033	36.09	8100	19422	63738
 2000-0-0 0:1:54.955	-0.0591	0.8794	0.4507	0.0	0.0	0.0	62.897	3.532	0.033	36.06	8100	19419	63697
 2000-0-0 0:1:55.70	-0.0625	0.8789	0.4492	0.0	0.0	0.0	62.902	3.532	0.033	36.12	8097	19407	63700
 2000-0-0 0:1:55.180	-0.0601	0.8789	0.4487	0.0	0.0	0.0	62.902	3.532	0.033	36.08	8100	19414	63717
 2000-0-0 0:1:55.290	-0.0605	0.8779	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.05	8095	19417	63714
