Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(C)	magx	magy	magz
 2000-0-0 0:1:55.400	-0.062	0.8789	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.08	8105	19426	63709
 2000-0-0 0:1:55.510	-0.0601	0.8794	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8097	19449	63738
 2000-0-0 0:1:55.620	-0.062	0.8804	0.4492	0.0	0.0	0.0	62.902	3.532	0.033	36.11	8109	19437	63733
 2000-0-0 0:1:55.730	-0.0601	0.8789	0.4502	0.0	0.0	0.0	62.902	3.532	0.033	36.08	8110	19417	63708
 2000-0-0 0:1:55.840	-0.0615	0.8789	0.4487	0.0	0.0	0.0	62.902	3.532	0.033	36.05	8096	19427	63690
 2000-0-0 0:1:55.950	-0.0605	0.8784	0.4512	0.0	0.0	0.0	62.902	3.532	0.033	36.03	8100	19418	63705
 2000-0-0 0:1:56.60	-0.062	0.8784	0.4482	0.0	0.0	0.0	62.902	3.532	0.033	36.06	8111	19410	63717
 2000-0-0 0:1:56.175	-0.0601	0.8794	0.4497	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8099	19403	63697
 2000-0-0 0:1:56.285	-0.0615	0.8799	0.4507	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8101	19399	63694
 2000-0-0 0:1:56.395	-0.0605	0.8794	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.06	8086	19413	63721
 2000-0-0 0:1:56.505	-0.0596	0.8794	0.4487	0.0	0.0	0.0	62.902	3.532	0.033	36.11	8094	19411	63728
 2000-0-0 0:1:56.615	-0.0625	0.8784	0.4492	0.0	0.0	0.0	62.902	3.527	0.033	36.09	8090	19414	63722
 2000-0-0 0:1:56.725	-0.0615	0.8794	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8087	19407	63705
 2000-0-0 0:1:56.835	-0.0605	0.8799	0.4492	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8104	19404	63723
 2000-0-0 0:1:56.945	-0.061	0.8789	0.4507	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8115	19408	63708
 2000-0-0 0:1:57.55	-0.061	0.8784	0.4497	0.0	0.0	0.0	62.902	3.527	0.033	36.12	8104	19414	63709
 2000-0-0 0:1:57.165	-0.061	0.8779	0.4517	0.0	0.0	0.0	62.902	3.527	0.033	36.11	8098	19415	63704
 2000-0-0 0:1:57.275	-0.062	0.8799	0.4492	0.0	0.0	0.0	62.902	3.527	0.033	36.08	8108	19407	63718
 2000-0-0 0:1:57.385	-0.0601	0.8794	0.4497	0.0	0.0	0.0	62.902	3.532	0.033	36.06	8104	19421	63701
 2000-0-0 0:1:57.500	-0.061	0.8799	0.4502	0.0	0.0	0.0	62.902	3.527	0.033	36.09	8090	19419	63706
 2000-0-0 0:1:57.610	-0.0615	0.8789	0.4512	0.0	0.0	0.0	62.908	3.527	0.033	36.09	8105	19415	63711
 2000-0-0 0:1:57.720	-0.061	0.8779	0.4502	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8108	19414	63725
 2000-0-0 0:1:57.830	-0.0605	0.8799	0.4492	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8108	19415	63715
 2000-0-0 0:1:57.940	-0.0605	0.8794	0.4507	0.0	0.0	0.0	62.908	3.527	0.033	36.08	8106	19418	63707
 2000-0-0 0:1:58.50	-0.062	0.8794	0.4497	0.0	0.0	0.0	62.902	3.527	0.033	36.15	8102	19423	63717
 2000-0-0 0:1:58.160	-0.0596	0.8784	0.4487	0.0	0.0	0.0	62.902	3.532	0.033	36.09	8110	19418	63686
 2000-0-0 0:1:58.270	-0.062	0.8779	0.4497	0.0	0.0	0.0	62.908	3.527	0.033	36.06	8114	19406	63701
 2000-0-0 0:1:58.380	-0.061	0.8784	0.4507	0.0	0.0	0.0	62.908	3.527	0.033	36.06	8099	19425	63696
 2000-0-0 0:1:58.490	-0.0596	0.8799	0.4482	0.0	0.0	0.0	62.902	3.532	0.033	36.06	8104	19423	63726
 2000-0-0 0:1:58.605	-0.0615	0.8789	0.4502	0.0	0.0	0.0	62.908	3.527	0.033	36.09	8096	19423	63712
 2000-0-0 0:1:58.720	-0.061	0.8799	0.4502	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8112	19417	63694
 2000-0-0 0:1:58.830	-0.061	0.8789	0.4502	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8111	19434	63703
 2000-0-0 0:1:58.945	-0.062	0.8794	0.4502	0.0	0.0	0.0	62.908	3.527	0.033	36.09	8103	19420	63697
 2000-0-0 0:1:59.55	-0.061	0.8799	0.4492	0.0	0.0	0.0	62.908	3.532	0.033	36.08	8094	19427	63674
 2000-0-0 0:1:59.165	-0.061	0.8804	0.4478	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8107	19425	63697
 2000-0-0 0:1:59.275	-0.0615	0.8779	0.4512	0.0	0.0	0.0	62.908	3.527	0.033	36.09	8113	19420	63701
 2000-0-0 0:1:59.390	-0.0615	0.8779	0.4492	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8108	19418	63725
 2000-0-0 0:1:59.505	-0.0601	0.8799	0.4478	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8093	19408	63709
 2000-0-0 0:1:59.615	-0.0615	0.8794	0.4507	0.0	0.0	0.0	62.908	3.527	0.033	36.14	8104	19424	63698
 2000-0-0 0:1:59.725	-0.061	0.8784	0.4507	0.0	0.0	0.0	62.908	3.527	0.033	36.09	8095	19426	63707
 2000-0-0 0:1:59.840	-0.061	0.8799	0.4473	0.0	0.0	0.0	62.908	3.532	0.033	36.14	8102	19418	63708
 2000-0-0 0:1:59.950	-0.0605	0.8779	0.4497	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8101	19414	63699
 2000-0-0 0:2:0.65	-0.062	0.8784	0.4502	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8099	19413	63706
 2000-0-0 0:2:0.180	-0.0601	0.8794	0.4478	0.0	0.0	0.0	62.902	3.532	0.033	36.06	8096	19403	63736
 2000-0-0 0:2:0.300	-0.062	0.8784	0.4497	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8090	19413	63724
 2000-0-0 0:2:0.415	-0.0615	0.8784	0.4512	0.0	0.0	0.0	62.908	3.532	0.033	36.08	8096	19408	63700
 2000-0-0 0:2:0.545	-0.0596	0.8804	0.4463	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8111	19408	63686
 2000-0-0 0:2:0.665	-0.062	0.8784	0.4497	0.0	0.0	0.0	62.908	3.532	0.033	36.14	8113	19417	63697
 2000-0-0 0:2:0.775	-0.061	0.8774	0.4497	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8101	19435	63706
 2000-0-0 0:2:0.880	-0.061	0.8804	0.4468	0.0	0.0	0.0	62.908	3.532	0.033	36.15	8109	19430	63683
 2000-0-0 0:2:0.990	-0.061	0.8789	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.08	8116	19405	63699
 2000-0-0 0:2:1.95	-0.0615	0.8784	0.4497	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8111	19400	63723
 2000-0-0 0:2:1.205	-0.0601	0.8794	0.4487	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8105	19410	63714
 2000-0-0 0:2:1.310	-0.061	0.8794	0.4468	0.0	0.0	0.0	62.913	3.532	0.033	36.11	8100	19418	63718
 2000-0-0 0:2:1.430	-0.0625	0.8784	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8096	19401	63693
 2000-0-0 0:2:1.545	-0.0591	0.8794	0.4487	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8099	19400	63702
 2000-0-0 0:2:1.655	-0.0615	0.8794	0.4478	0.0	0.0	0.0	62.913	3.532	0.033	36.12	8104	19403	63711
 2000-0-0 0:2:1.770	-0.061	0.8779	0.4502	0.0	0.0	0.0	62.913	3.532	0.033	36.11	8119	19392	63733
 2000-0-0 0:2:1.880	-0.061	0.8789	0.4492	0.0	0.0	0.0	62.913	3.532	0.033	36.12	8104	19404	63717
 2000-0-0 0:2:1.985	-0.0605	0.8794	0.4502	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8101	19407	63696
 2000-0-0 0:2:2.100	-0.062	0.8789	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.11	8130	19405	63721
 2000-0-0 0:2:2.210	-0.0601	0.8794	0.4482	0.0	0.0	0.0	62.913	3.532	0.033	36.14	8107	19412	63710
 2000-0-0 0:2:2.320	-0.0605	0.8784	0.4487	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8109	19418	63686
 2000-0-0 0:2:2.425	-0.0615	0.8779	0.4502	0.0	0.0	0.0	62.913	3.532	0.033	36.08	8104	19429	63683
 2000-0-0 0:2:2.535	-0.061	0.8789	0.4497	0.0	0.0	0.0	62.913	3.532	0.033	36.11	8105	19409	63731
 2000-0-0 0:2:2.640	-0.062	0.8789	0.4492	0.0	0.0	0.0	62.913	3.532	0.033	36.11	8096	19403	63690
 2000-0-0 0:2:2.750	-0.062	0.8789	0.4497	0.0	0.0	0.0	62.913	3.532	0.033	36.12	8107	19398	63703
 2000-0-0 0:2:2.855	-0.0596	0.8774	0.4492	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8103	19402	63694
 2000-0-0 0:2:2.965	-0.061	0.8794	0.4482	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8114	19406	63692
 2000-0-0 0:2:3.80	-0.0605	0.8789	0.4502	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8097	19411	63718
 2000-0-0 0:2:3.190	-0.061	0.8794	0.4502	0.0	0.0	0.0	62.908	3.532	0.033	36.11	8108	19418	63713
 2000-0-0 0:2:3.305	-0.0605	0.8799	0.4487	0.0	0.0	0.0	62.908	3.532	0.033	36.14	8107	19399	63700
 2000-0-0 0:2:3.415	-0.0615	0.8774	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8101	19403	63716
 2000-0-0 0:2:3.530	-0.061	0.8789	0.4473	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8105	19402	63730
 2000-0-0 0:2:3.635	-0.0586	0.8789	0.4502	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8102	19409	63712
 2000-0-0 0:2:3.745	-0.063	0.8789	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.15	8095	19418	63715
 2000-0-0 0:2:3.850	-0.0601	0.8789	0.4492	0.0	0.0	0.0	62.908	3.532	0.033	36.09	8106	19410	63719
 2000-0-0 0:2:3.955	-0.0596	0.8789	0.4468	0.0	0.0	0.0	62.908	3.532	0.033	36.12	8082	19406	63700
 2000-0-0 0:2:4.65	-0.0625	0.8789	0.4507	0.0	0.0	0.0	62.913	3.532	0.033	36.09	8099	19413	63708
